,Airport Name,Location,FAA Code,ICAO Code,Usage
0,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport
1,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport
2,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport
3,Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport/Eglin Air Force Base
4,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport
5,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport
6,Key West,EYW,EYW,KEYW,Key West International Airport
7,Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport
8,Miami,MIA,MIA,KMIA,Miami International Airport
9,Orlando,MCO,MCO,KMCO,Orlando International Airport
10,Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport
11,Pensacola,PNS,PNS,KPNS,Pensacola International Airport
12,Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport
13,Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport
14,Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport
15,St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport
16,Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport
17,Tampa,TPA,TPA,KTPA,Tampa International Airport
18,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport
19,Fort Lauderdale,FXE,FXE,KFXE,Fort Lauderdale Executive Airport
20,Vero Beach,VRB,VRB,KVRB,Vero Beach Regional Airport
21,Boca Raton,BCT,BCT,KBCT,Boca Raton Airport
22,Clearwater,CLW,CLW,KCLW,Clearwater Air Park
23,Fort Myers,FMY,FMY,KFMY,Page Field
24,Hollywood,HWO,HWO,KHWO,North Perry Airport
25,Jacksonville,CRG,CRG,KCRG,Jacksonville Executive at Craig Airport(was Craig Municipal Airport)
26,Jacksonville,HEG,,KHEG,Herlong Recreational Airport(was Herlong Airport)
27,Kissimmee,ISM,ISM,KISM,Kissimmee Gateway Airport
28,Lakeland,LAL,LAL,KLAL,Lakeland Linder International Airport
29,Miami,TMB,TMB,KTMB,Miami Executive Airport
30,Miami,OPF,OPF,KOPF,Miami-Opa Locka Executive Airport(was Opa-locka Airport)
31,Orlando,ORL,ORL,KORL,Executive Airport
32,St. Petersburg,SPG,SPG,KSPG,Albert Whitted Airport
33,Tampa,TPF,TPF,KTPF,Peter O. Knight Airport
34,Tampa,VDF,,KVDF,Tampa Executive Airport(was Vandenberg Airport)
35,Venice,VNC,VNC,KVNC,Venice Municipal Airport
36,West Palm Beach/Lantana,LNA,LNA,KLNA,Palm Beach County Park Airport(Lantana Airport)
37,Apalachicola,AAF,AAF,KAAF,Apalachicola Regional Airport-Cleve Randolph Field
38,Avon Park,AVO,AVO,KAVO,Avon Park Executive Airport
39,Bartow,BOW,BOW,KBOW,Bartow Executive Airport
40,Brooksville,BKV,,KBKV,Brooksville–Tampa Bay Regional Airport
41,Cedar Key,CDK,CDK,KCDK,George T. Lewis Airport
42,Crestview,CEW,CEW,KCEW,Bob Sikes Airport
