,iata,iaco,airline_name,call_sign,country
0,PR,BOI,2GO,ABAIR,Philippines
1,2T,TBS,Timbis Air,TIMBIS,Kenya
2,3F,FIE,FlyOne Armenia,ARMRIDER,Armenia
3,Q5,MLA,40-Mile Air,MILE-AIR,United States
4,4D,ASD,Air Sinai,AIR SINAI,Egypt
5,4R,SEK,Star East Airline[de;fa;it;pl],EAST RIDER,Romania
6,4O,AIJ,Interjet,ABC AEROLINEAS,Mexico
7,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,United Arab Emirates
8,7B,UBE,Bees Airline,FLOWER BEE,Ukraine
9,BJ,ABJ,Abaete Linhas Aereas,ABAETE,Brazil
10,RL,ABG,Abakan-Avia,ROYAL FLIGHT,Russia
11,W9,AAB,Abelag Aviation,ABG,Belgium
12,M3,TUS,ABSA Cargo,Turismo,Brazil
13,GB,ABX,ABX Air,ABEX,United States
14,ZA,CYD,AccessAir,CYCLONE,United States
15,VX,AES,ACES Colombia,ACES,Colombia
16,KI,DHI,Adam Air,ADAM SKY,Indonesia
17,Z7*,ADK,ADC Airlines,ADCO,Nigeria
18,JP,ADR,Adria Airways,ADRIA,Slovenia
19,AN,WSN,Advanced Air,WINGSPAN,United States
20,A3,AEE,Aegean Airlines,AEGEAN,Greece
21,9D,CND,Aero Continente Dominicana,CONDOMINICANA,Dominican Republic
22,ML,AEK,Aero Costa Rica,ACORISA,Costa Rica
23,DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
24,SU,AFL,Aeroflot,AEROFLOT,Russia
25,P3,PLS,Aeroflot-Plus,AEROPLUS,Russia
26,OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
27,SM,AAW,Allied Airways,,United Kingdom
28,KJ,AAZ,Asian Air,,Kyrgyzstan
29,YE,ACQ,Aryan Cargo Express,,India
30,VJ,AFF,Africa Airways,AFRIWAYS,Benin
31,QH,FLA,Air Florida,PALM,United States
32,3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
33,HD,ADO,AIRDO,AIR DO,Japan
34,UJ,LMU,AlMasria Universal Airlines,ALMASRIA,Egypt
35,A2,AWG,Animawings,ANIMA WINGS,Romania
36,X9,NVD,Avion Express,NORDVIND,Lithuania
37,3S*,AEN,Aeroland Airways,AEROLAND,Greece
38,JU,ASL,Air Serbia,AIR SERBIA,Serbia
39,QH,LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
40,XK,CCM,Air Corsica,CORSICA,France
41,EI,EIN,Aer Lingus,SHAMROCK,Ireland
42,EG,EUK,Aer Lingus UK,GREEN FLIGHT,United Kingdom
43,A8,XAU,Aerolink Uganda,PEARL,Uganda
44,RV,ROU,Air Canada Rouge,ROUGE,Canada
45,7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
46,6U,ACX,Air Cargo Germany,LOADMASTER,Germany
47,ZI,AAF,Aigle Azur,AIGLE AZUR,France
48,AE,AE,Air Ceylon,CEYLON,Sri Lanka
49,4K*,AAS,Askari Aviation,AL-ASS,Pakistan
51,Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
52,KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
53,QB,AAJ,Air Alma,AIR ALMA,Canada
54,LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
55,2Y,ADW,Air Andaman,AIR ANDAMAN,Thailand
56,UX,AEA,Air Europa,EUROPA,Spain
57,IG,AEY,Air Italy,AIR ITALY,Italy
58,NX,AMU,Air Macau,AIR MACAO,Macao
59,6A,AMW,Armenia Airways,ARMENIA,Armenia
60,HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
61,AF,AFR,Air France,AIRFRANS,France
62,SB,ACI,Air Caledonie International,AIRCALIN,France
63,EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
64,ED,AXE,AirExplore,GALILEO,Slovakia
65,ZW,AWI,Air Wisconsin,WISCONSIN,United States
66,YI,RSI,Air Sunshine,AIR SUNSHINE,United States
67,GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
68,9T,RUN,Air ACT,CARGO TURK,Turkey
69,ZB,ABN,Air Albania,AIR ALBANIA,Albania
