,ICAO Code,First Seen Timestamp,Last Seen Timestamp,Arrival Airport Code,Destination Airport Code,Flight Number,iaco
0,a8c094,1579513844.0,1579514878,KFLL,nan,NKS826  ,NKS
1,a91700,1579503660.0,1579514720,KFLL,nan,NKS970  ,NKS
2,ac8a63,1579512850.0,1579513938,KFLL,nan,NKS1140 ,NKS
3,a83876,1579478404.0,1579513671,KFLL,nan,JBU319  ,JBU
4,a83e86,1579500240.0,1579513361,KFLL,nan,JBU2850 ,JBU
5,a898a9,1579497840.0,1579513099,KFLL,nan,JBU530  ,JBU
6,acb950,1579497438.0,1579512920,KFLL,nan,NKS310  ,NKS
7,a7bbe9,1579510860.0,1579512348,KFLL,nan,JBU1256 ,JBU
8,adc238,1579489642.0,1579505330,KFLL,nan,JBU2800 ,JBU
9,c058b8,1579492957.0,1579504611,KFLL,nan,ROU1608 ,ROU
10,a8fd73,1579492795.0,1579502146,KFLL,nan,DAL2519 ,DAL
11,a8553c,1579493057.0,1579501226,KFLL,nan,NKS799  ,NKS
12,a2d3b3,1579487388.0,1579498847,KFLL,nan,SWA3536 ,SWA
13,aa60e5,1579489770.0,1579497739,KFLL,nan,SWA5370 ,SWA
14,ad444d,1579480102.0,1579497591,KFLL,nan,JBU1578 ,JBU
15,aac886,1579483238.0,1579496569,KFLL,nan,SWA3669 ,SWA
16,ade9c0,1579486997.0,1579496477,KFLL,nan,JBU499  ,JBU
17,a8eaea,1579490872.0,1579495670,KFLL,nan,DAL2126 ,DAL
18,a91349,1579483269.0,1579493999,KFLL,nan,NKS615  ,NKS
19,a923a9,1579487228.0,1579493939,KFLL,nan,UAL2100 ,UAL
20,a0cb68,1579485862.0,1579493444,KFLL,nan,AAL934  ,AAL
21,a14c9b,1579485588.0,1579493235,KFLL,nan,JBU1279 ,JBU
22,aa73c3,1579491350.0,1579492973,KFLL,nan,SWA3923 ,SWA
23,a7e276,1579481023.0,1579492548,KFLL,nan,NKS1334 ,NKS
24,aa76cb,1579485427.0,1579492190,KFLL,nan,SWA2454 ,SWA
25,ac97e1,1579483009.0,1579492046,KFLL,nan,NKS779  ,NKS
26,a38cd2,1579481617.0,1579491928,KFLL,nan,JBU535  ,JBU
27,a8a017,1579482363.0,1579491689,KFLL,nan,JBU813  ,JBU
28,a809f5,1579488576.0,1579490927,KFLL,KTPA,NKS575  ,NKS
29,a885f4,1579481861.0,1579490787,KFLL,nan,UAL2025 ,UAL
30,a8aba8,1579482579.0,1579490485,KFLL,nan,NKS443  ,NKS
31,a98d7e,1579483786.0,1579490429,KFLL,nan,UAL480  ,UAL
33,ad3cdf,1579480633.0,1579490127,KFLL,nan,JBU1271 ,JBU
34,a8c802,1579481866.0,1579490080,KFLL,nan,NKS265  ,NKS
35,acc3b4,1579484524.0,1579489899,KFLL,nan,AAL2194 ,AAL
36,a46603,1579478406.0,1579489812,KFLL,nan,UAL574  ,UAL
37,a92fa3,1579484037.0,1579489347,KFLL,nan,NKS981  ,NKS
38,a600a6,1579479860.0,1579488927,KFLL,nan,UAL564  ,UAL
39,a8dcee,1579478413.0,1579488105,KFLL,nan,NKS845  ,NKS
40,a426a5,1579478827.0,1579488020,KFLL,nan,DAL2910 ,DAL
41,a7e9e4,1579480285.0,1579487981,KFLL,nan,NKS727  ,NKS
42,a87904,1579484999.0,1579487662,KFLL,nan,NKS195  ,NKS
43,a6587b,1579478404.0,1579487565,KFLL,nan,JBU1201 ,JBU
44,a8e45c,1579479635.0,1579487425,KFLL,nan,NKS470  ,NKS
45,c0482a,1579478404.0,1579487171,KFLL,nan,ROU1616 ,ROU
46,a887e0,1579479259.0,1579486960,KFLL,nan,NKS512  ,NKS
47,a7ad0d,1579479102.0,1579486814,KFLL,nan,JBU1954 ,JBU
48,a84660,1579482725.0,1579486510,KFLL,nan,NKS2680 ,NKS
49,ac9abc,1579478404.0,1579486123,KFLL,nan,DAL2208 ,DAL
50,a6c7ed,1579478403.0,1579485999,KFLL,nan,NKS161  ,NKS
51,a3904c,1579478405.0,1579485419,KFLL,nan,FFT2847 ,FFT
52,acbf60,1579479918.0,1579485310,KFLL,nan,NKS107  ,NKS
53,a413c1,1579481716.0,1579485131,KFLL,KTPA,5IL0092 ,null
54,ad2ce1,1579478407.0,1579485050,KFLL,nan,SWA3316 ,SWA
55,a90824,1579478404.0,1579485008,KFLL,nan,NKS1529 ,NKS
56,a7debf,1579478405.0,1579484743,KFLL,nan,NKS1009 ,NKS
57,abe3e6,1579478409.0,1579484721,KFLL,nan,SWA4017 ,SWA
58,a24fb8,1579478405.0,1579484457,KFLL,nan,SWA5305 ,SWA
59,a56469,1579482750.0,1579484282,KFLL,nan,N4468T  ,null
60,ac712d,1579478405.0,1579483709,KFLL,nan,SWA3764 ,SWA
61,a32ef8,1579481390.0,1579483553,KFLL,nan,JBU2617 ,JBU
62,a94c7b,1579478405.0,1579483169,KFLL,nan,DAL2168 ,DAL
63,a3f518,1579481477.0,1579483160,KFLL,nan,EJA354  ,EJA
64,acc76b,1579478410.0,1579483038,KFLL,nan,AAL469  ,AAL
65,aa2ba5,1579480698.0,1579482893,KFLL,nan,UAL2232 ,UAL
66,a70f11,1579481043.0,1579482809,KFLL,nan,JBU2705 ,JBU
67,a894f2,1579480294.0,1579482535,KFLL,nan,JBU87   ,JBU
68,ab4f5d,1579480995.0,1579482389,KFLL,nan,JBU38   ,JBU
69,c03517,1579479839.0,1579482288,KFLL,nan,WJA1220 ,WJA
70,a6b55a,1579478836.0,1579482028,KFLL,nan,NKS403  ,NKS
71,a654cb,1579480217.0,1579481936,KFLL,nan,JBU69   ,JBU
72,abae62,1579480015.0,1579481721,KFLL,nan,SWA4141 ,SWA
73,a83108,1579479474.0,1579481636,KFLL,nan,JBU1197 ,JBU
74,aa4a9b,1579478468.0,1579480933,KFLL,nan,SWA4892 ,SWA
75,a23fde,1579478714.0,1579480871,KFLL,KPIE,N244LJ  ,null
76,a754b5,1579478629.0,1579480522,KFLL,nan,UAL548  ,UAL
77,a19910,1579478574.0,1579480445,KFLL,nan,JBU1401 ,JBU
