,ICAO Code,First Seen Timestamp,Last Seen Timestamp,Arrival Airport Code,Destination Airport Code,Flight Number
0,'a8c094',1579513844,1579514878,'KFLL',None,'NKS826  '
1,'a91700',1579503660,1579514720,'KFLL','KDEN','NKS970  '
2,'ac8a63',1579512850,1579513938,'KFLL',None,'NKS1140 '
3,'a83876',1579478404,1579513671,'KFLL',None,'JBU319  '
4,'a83e86',1579500240,1579513361,'KFLL',None,'JBU2850 '
5,'a898a9',1579497840,1579513099,'KFLL','KSAN','JBU530  '
6,'acb950',1579497438,1579512920,'KFLL','KLAX','NKS310  '
7,'a7bbe9',1579510860,1579512348,'KFLL',None,'JBU1256 '
8,'adc238',1579489642,1579505330,'KFLL','KLAX','JBU2800 '
9,'c058b8',1579492957,1579504611,'KFLL','CYUL','ROU1608 '
10,'a8fd73',1579492795,1579502146,'KFLL','KDTW','DAL2519 '
11,'a8553c',1579493057,1579501226,'KFLL','TJIG','NKS799  '
12,'a2d3b3',1579487388,1579498847,'KFLL','KDEN','SWA3536 '
13,'aa60e5',1579489770,1579497739,'KFLL','KSTL','SWA5370 '
14,'ad444d',1579480102,1579497591,'KFLL','KSFO','JBU1578 '
15,'aac886',1579483238,1579496569,'KFLL','KPHX','SWA3669 '
16,'ade9c0',1579486997,1579496477,'KFLL','KLGA','JBU499  '
17,'a8eaea',1579490872,1579495670,'KFLL','KATL','DAL2126 '
18,'a91349',1579483269,1579493999,'KFLL','KBOS','NKS615  '
19,'a923a9',1579487228,1579493939,'KFLL','KIAH','UAL2100 '
20,'a0cb68',1579485862,1579493444,'KFLL','KDFW','AAL934  '
21,'a14c9b',1579485588,1579493235,'KFLL','KDCA','JBU1279 '
22,'aa73c3',1579491350,1579492973,'KFLL',None,'SWA3923 '
23,'a7e276',1579481023,1579492548,'KFLL','KDEN','NKS1334 '
24,'aa76cb',1579485427,1579492190,'KFLL','KHOU','SWA2454 '
25,'ac97e1',1579483009,1579492046,'KFLL','KLGA','NKS779  '
26,'a38cd2',1579481617,1579491928,'KFLL','KSWF','JBU535  '
27,'a8a017',1579482363,1579491689,'KFLL','KHPN','JBU813  '
28,'a809f5',1579488576,1579490927,'KFLL','KTPA','NKS575  '
29,'a885f4',1579481861,1579490787,'KFLL','KEWR','UAL2025 '
30,'a8aba8',1579482579,1579490485,'KFLL','KBWI','NKS443  '
31,'a98d7e',1579483786,1579490429,'KFLL','KIAH','UAL480  '
32,'a8c094',1579481069,1579490362,'KFLL','KORD','NKS425  '
33,'ad3cdf',1579480633,1579490127,'KFLL','KLGA','JBU1271 '
34,'a8c802',1579481866,1579490080,'KFLL','KACY','NKS265  '
35,'acc3b4',1579484524,1579489899,'KFLL','KCLT','AAL2194 '
36,'a46603',1579478406,1579489812,'KFLL',None,'UAL574  '
37,'a92fa3',1579484037,1579489347,'KFLL','KCLT','NKS981  '
38,'a600a6',1579479860,1579488927,'KFLL','KORD','UAL564  '
39,'a8dcee',1579478413,1579488105,'KFLL','KDTW','NKS845  '
40,'a426a5',1579478827,1579488020,'KFLL','KJFK','DAL2910 '
41,'a7e9e4',1579480285,1579487981,'KFLL','KLBE','NKS727  '
42,'a87904',1579484999,1579487662,'KFLL',None,'NKS195  '
43,'a6587b',1579478404,1579487565,'KFLL',None,'JBU1201 '
44,'a8e45c',1579479635,1579487425,'KFLL','KDFW','NKS470  '
45,'c0482a',1579478404,1579487171,'KFLL',None,'ROU1616 '
46,'a887e0',1579479259,1579486960,'KFLL','KAUS','NKS512  '
47,'a7ad0d',1579479102,1579486814,'KFLL','TJIG','JBU1954 '
48,'a84660',1579482725,1579486510,'KFLL',None,'NKS2680 '
49,'ac9abc',1579478404,1579486123,'KFLL',None,'DAL2208 '
50,'a6c7ed',1579478403,1579485999,'KFLL',None,'NKS161  '
51,'a3904c',1579478405,1579485419,'KFLL',None,'FFT2847 '
52,'acbf60',1579479918,1579485310,'KFLL','KATL','NKS107  '
53,'a413c1',1579481716,1579485131,'KFLL','KTPA','5IL0092 '
54,'ad2ce1',1579478407,1579485050,'KFLL',None,'SWA3316 '
55,'a90824',1579478404,1579485008,'KFLL',None,'NKS1529 '
56,'a7debf',1579478405,1579484743,'KFLL',None,'NKS1009 '
57,'abe3e6',1579478409,1579484721,'KFLL',None,'SWA4017 '
58,'a24fb8',1579478405,1579484457,'KFLL',None,'SWA5305 '
59,'a56469',1579482750,1579484282,'KFLL',None,'N4468T  '
60,'ac712d',1579478405,1579483709,'KFLL',None,'SWA3764 '
61,'a32ef8',1579481390,1579483553,'KFLL',None,'JBU2617 '
62,'a94c7b',1579478405,1579483169,'KFLL',None,'DAL2168 '
63,'a3f518',1579481477,1579483160,'KFLL',None,'EJA354  '
64,'acc76b',1579478410,1579483038,'KFLL',None,'AAL469  '
65,'aa2ba5',1579480698,1579482893,'KFLL',None,'UAL2232 '
66,'a70f11',1579481043,1579482809,'KFLL',None,'JBU2705 '
67,'a894f2',1579480294,1579482535,'KFLL',None,'JBU87   '
