AirlineName,FlightCount
"Southwest Airlines",416
"Delta Air Lines",273
"American Airlines",240
"United Airlines",178
"JetBlue Airways",153
"Spirit Airlines",125
NetJets,73
"PSA Airlines",57
"Frontier Airlines",55
"Allegiant Air",50
"Air Canada Rouge",37
"Republic Airways",29
"Alaska Airlines, Inc.",28
"Mesa Airlines",25
"FedEx Express",21
"United Parcel Service",20
WestJet,17
"Atlantic Southeast Airlines",14
"Sun Country Airlines",13
"Silver Airways",13
"Air Transport International",12
"Envoy Air",12
"Endeavor Air",10
"Air Transat",9
"Atlas Air",8
"Caribbean Airlines",6
Swoop,6
"Azul Linhas Aereas Brasileiras",5
"Copa Airlines",5
Avianca,4
Bahamasair,4
"British Airways",3
"Cayman Airways",3
"Sierra National Airlines",3
"Swift Air(Interstate Equipment Leasing)",3
Lufthansa,2
Eurowings,2
"LATAM Chile",2
"Pacific Airlines",2
"Air Mobility Command",2
"Sharp Airlines",2
"Sunwing Airlines",2
"Emirates Airlines",2
"ABX Air",1
Interjet,1
"Miami Air International",1
"BA CityFlyer",1
"Condor Flugdienst",1
"Coast Air",1
"Edelweiss Air",1
"Sun Air International",1
"Formosa Airlines",1
"GoJet Airlines",1
"NetJets Europe",1
"Norwegian Air UK",1
"Pamir Airways",1
"Aer Arann",1
"SAM Colombia",1
"SkyWest Airlines",1
flyADVANCED,1
"Aerolink Uganda",1
"Ansett Australia",0
"Abelag Aviation",0
AmericanConnection[8],0
"Aigle Azur",0
"Air Atlantique",0
"Aloha Air Cargo",0
"Air Alma",0
"Amsterdam Airlines",0
"Air Alliance",0
"Asiana Airlines",0
"Askari Aviation",0
"Austrian Airtransport",0
"Allied Airways",0
"Asian Air",0
"Air Atlanta Icelandic",0
Abakan-Avia,0
"Abaete Linhas Aereas",0
"Air Busan",0
"Air Albania",0
Airblue,0
"ASL Airlines Ireland",0
"Transwest  Air",0
"Antrak Air",0
"AirBridge Cargo",0
"Air Arabia",0
"Air Canada",0
"Air Caledonie International",0
"Nantucket Airlines",0
"Itali Airlines",0
"Astral Aviation",0
"Aryan Cargo Express",0
"Air Cargo Germany",0
"Fly Arna",0
"ADC Airlines",0
Dominair,0
AIRDO,0
"Adria Airways",0
"Air Andaman",0
"Air Arabia Abu Dhabi",0
"Air Ceylon",0
"Air Europa",0
"Aero Benin",0
"Aegean Airlines",0
Aviaexpress,0
"Aero Costa Rica",0
"Air Europe Italy",0
"Aeroland Airways",0
"Alaska Central Express",0
"ACES Colombia",0
Astraeus,0
"Aerosvit Airlines",0
"Air Italy",0
"American Falcon",0
"Africa Airways",0
"Ariana Afghan Airlines",0
Africaone,0
"Alliance Air",0
Aeroflot,0
"Air France",0
"Afrinat International Airlines",0
"Africa World Airlines",0
"Airfreight Express",0
"Air Service Gabon",0
"Air Gabon",0
"Amadeus IT Group",0
"Air Glaciers",0
Aviogenex,0
"Air Alpha Greenland",0
"Air Hong Kong",0
Aeromist-Kharkiv,0
"Azerbaijan Airlines",0
Avies,0
"Airbus Industrie",0
"Air IndiaLimited",0
"Air Incheon",0
"Air Malawi",0
"Alpine Air Express",0
"Thai  AirAsia",0
"Arkia Israel Airlines",0
"Bar Harbor Airlines",0
"Air Jamaica",0
"Amerijet International",0
"Air Japan",0
"Akasa Air",0
"Air Kiribati",0
"Canadian North",0
"Air Nippon Network Co. Ltd.",0
"SriLankan Airlines",0
"Aeropostal Alas de Venezuela",0
"Hewa Bora Airways",0
"Deutsche Rettungsflugwacht",0
"Air Malta",0
"Air Maldives",0
"Air 2000",0
"ATA Airlines",0
"Air Macau",0
"AMC Airlines",0
"Armenia Airways",0
Aeromexico,0
"All Nippon Airways",0
"Servicios Aereos de los Andes",0
"Air Nostrum",0
"Air Niugini",0
"Air Nippon",0
Airnorth,0
"Andes Lineas Aereas",0
"Air North Charter- Canada",0
"Air New Zealand",0
AVCOM,0
"Aero VIP",0
"AOM French Airlines",0
"Asia Overnight Express",0
"Sabre Pacific",0
"Arrow Air",0
"Air Premia",0
"Aires, Aerovias de Integracion Regional, S.A.",0
"Aero Flight",0
"Aerolineas Argentinas",0
"Air Armenia",0
